date,T_AMB,P_AMB,CMP_SPEED,CDP,GGDP,HPT_IT,CDT,LPT_IT,EXH_T,RH,WAR,POWER
2021-01-01,1.450440333839162,0.8435217114293175,0.0,0.8435217114293175,0.8435217114293175,,1.450440333839162,,,81.23744071187942,4.086984265136003e-05,
2021-01-02,2.7611424264426847,0.843855778347545,7870.729712564126,7.907586752461937,2.448489741073104,949.2636904425692,258.9333671532856,625.6777223665573,387.7498719911187,74.3113131481313,4.0845725555312655e-05,13332.692409358928
2021-01-03,9.270324689774895,0.843413409824184,9898.625866456809,9.407523273107964,2.8167692116977108,984.6015770524942,338.01476485716057,655.8571368851085,413.0394671557713,47.8971818058024,4.091863308855302e-05,13026.684965280236
2021-01-04,14.293265282028822,0.844249095458569,9850.791469401654,9.12178398110598,2.775070069405776,1014.5369220906848,347.1290999161601,681.7010874565532,434.895488014211,34.40072925364036,4.109757802613112e-05,12773.5070417913
2021-01-05,12.875213387502162,0.8436626986513424,9828.508457571696,9.138088482018183,2.7765773277123755,1008.5037459978472,344.3602112499396,677.0187481354096,431.2689897348049,37.53788243321046,4.080850200180869e-05,12768.092780593106
2021-01-06,6.428793350150898,0.8434763890324142,9811.063996787716,9.38289606766431,2.813156986493077,974.266492545732,332.1600035036216,648.5352823922614,407.86267422936186,58.30239153315552,4.095107895450704e-05,12945.08705587755
2021-01-07,1.3000949068230918,0.843867194456765,9811.444072075688,9.620761105933088,2.849320332143741,945.948073281852,322.405241198255,624.8429269904196,388.3155693296446,82.12396863621031,4.088906266357179e-05,13123.35191387286
2021-01-08,2.7965070608793003,0.8439071857744684,9757.687940653172,9.460768425943522,2.825562856210334,956.4416856738112,324.6909840137693,634.5472087209215,396.9224822866997,73.98963998002179,4.0748687383073045e-05,12952.975491055682
2021-01-09,9.294145095293157,0.8437469845726252,9793.01018331832,9.236260730232493,2.7915973130192504,991.1632133805416,337.51949770385426,662.9378607719802,419.9225822142429,48.10343974445942,4.102879524154454e-05,12818.38157778479
2021-01-10,14.420391801292448,0.8438288140199713,9824.345838760952,9.074311870893778,2.767151099336992,1018.8808611279318,347.73127978097546,685.569973148249,438.2450024255237,34.04788582938073,4.100952602499643e-05,12729.799484657598
2021-01-11,12.98446540084867,0.8436228742074062,9800.713220112608,9.088747296838566,2.769009639049935,1012.6589280050872,344.897766749745,680.7456266561909,434.5113766999403,37.2818500440142,4.079816207704535e-05,12726.7333690149
2021-01-12,6.421130791114376,0.8433780996273644,9720.835435422334,9.229298020605013,2.7899292682333794,980.5840901770248,331.84947625348826,655.1557447146514,414.1983812247063,58.09179366812279,4.083221665391791e-05,12768.781872359768
2021-01-13,1.2966069020165485,0.8436537560528188,9678.629511091483,9.380495916317722,2.81316087298962,954.8197599083612,321.7904240226672,634.3259427877107,397.4794491135887,82.02202521811347,4.0838457354776085e-05,12854.625659946772
2021-01-14,2.6334379399859134,0.8437696452690068,9674.44940553076,9.313446667849648,2.803245576355121,963.1405754273044,324.3467127534135,641.4273006138765,403.4329817441296,74.93820492312376,4.0748867649116e-05,12806.919341063658
2021-01-15,9.191548277358352,0.8431790630274474,9678.87036838812,9.03436443390475,2.759970652637085,1000.2024883202474,337.0144220590267,672.379614538579,428.955154648872,48.25671671477475,4.090485865167683e-05,12600.675042287256
2021-01-16,14.242160074349032,0.8440730794117627,9714.857764489832,8.894996826527999,2.7400728098772817,1026.6173923017711,346.9052257878841,693.9543265882362,446.4333599484272,33.850172555272486,4.0323504850768605e-05,12529.910916046772
2021-01-17,12.85640227352302,0.8435598673079565,9767.116147005589,9.03733502952513,2.761042293791552,1017.4711465675092,345.095270894604,685.232277946428,438.52114910011545,37.42106979653709,4.064381447998902e-05,12690.152773543814
2021-01-18,6.27279504303871,0.843658039772616,9737.734913919188,9.265767839794298,2.7958690211553425,982.981088790409,332.36880483223587,656.8850790012118,415.44605130528976,58.42789702189912,4.064443026727424e-05,12845.75134043363
2021-01-19,1.3047818326595686,0.8441724447887746,9724.519120593492,9.470447529497516,2.8274847844947235,956.4425377544052,322.8854052958657,634.8619142911991,397.3857585741068,81.93564112117633,4.078443327704826e-05,12994.062715560704
2021-01-20,2.523999661528314,0.8435738904718684,9715.302994304404,9.39654606756304,2.815414578231602,964.4478401634774,325.29721388074773,641.6746259442581,403.0832995529056,75.30833620252945,4.072500190472704e-05,12931.200261115724
2021-01-21,9.17391554095483,0.8441083756397981,9685.437220486412,9.061391722837689,2.76558621578854,1003.225978527521,337.6967778616832,674.7031162067926,430.7397492133375,47.84744740126995,4.049358028440997e-05,12657.79159131221
2021-01-22,14.24087569646816,0.8436832160885075,9655.892172049587,8.795112493310569,2.724017948531809,1032.8958354945914,346.8129214929168,700.3237896981432,452.4381247527136,34.840545144141124,4.152276096186733e-05,12421.045526414377
2021-01-23,12.841836906406456,0.8438013633547773,9538.463797279052,8.657697248904277,2.7028362373068635,1029.9751244154247,342.791188537052,700.0257727847792,453.6194261944801,37.13607702308259,4.023045889947413e-05,12207.378393996629
2021-01-24,6.331114539595581,0.8435859525589801,9539.439215134958,8.92170722969627,2.743286561051215,993.87345300704,330.6526837418742,669.551883804761,428.2506970848503,58.31864273640296,4.078689701786392e-05,12417.892406119156
2021-01-25,1.2597585610070132,0.8436872930509692,9550.963173000366,9.158482440583066,2.7797258219881087,964.772577859734,321.16587429092345,644.8664621298179,407.6311373596932,81.86160313903694,4.0649019285185634e-05,12608.331111422996
2021-01-26,2.706625932374855,0.843513794953164,9519.623598928076,9.040383466720014,2.7614297072107985,973.9445416377572,323.5527611963944,653.0984063737379,414.7990375397305,73.9603076534281,4.0502217975140365e-05,12487.230092106283
2021-01-27,9.098913051176623,0.8434952542563737,9506.056738144738,8.749164621250504,2.716571773923228,1011.1082325533322,335.6169275437235,684.5902180607853,441.088870381064,48.41953121739064,4.081264918258783e-05,12257.631686936196
2021-01-28,14.083776046559036,0.8436972275386901,9483.331583155865,8.515446720147382,2.680373214494244,1040.0256059136088,344.72820847505574,709.381173485112,461.9900311576016,34.27016573893432,4.040151043009412e-05,12054.873064920086
